site,biological_row_id,plant_global_rtl,plant_uid,measurement_round_within_site,measurement_datetime,measurement_date,manual_height_cm,source_sheet,source_cell
Woodruff,W-0010,11,W-0010-p11,5,2024-07-28T11:50:00-05:00,2024-07-28,140.0,Plant height ground truth-cm,J47
Woodruff,W-0015,1,W-0015-p01,1,2024-07-06T18:27:00-05:00,2024-07-06,68.0,Plant height ground truth-cm,E26
Woodruff,W-0015,1,W-0015-p01,2,2024-07-15T09:22:00-05:00,2024-07-15,106.0,Plant height ground truth-cm,G26
Woodruff,W-0015,1,W-0015-p01,3,2024-07-18T13:47:00-05:00,2024-07-18,113.0,Plant height ground truth-cm,H26
Woodruff,W-0015,1,W-0015-p01,4,2024-07-23T10:45:00-05:00,2024-07-23,135.0,Plant height ground truth-cm,I26
Woodruff,W-0015,1,W-0015-p01,5,2024-07-28T11:50:00-05:00,2024-07-28,160.0,Plant height ground truth-cm,J26
Woodruff,W-0015,2,W-0015-p02,1,2024-07-06T18:27:00-05:00,2024-07-06,32.0,Plant height ground truth-cm,E27
Woodruff,W-0015,2,W-0015-p02,2,2024-07-15T09:22:00-05:00,2024-07-15,56.0,Plant height ground truth-cm,G27
Woodruff,W-0015,2,W-0015-p02,3,2024-07-18T13:47:00-05:00,2024-07-18,70.0,Plant height ground truth-cm,H27
Woodruff,W-0015,2,W-0015-p02,4,2024-07-23T10:45:00-05:00,2024-07-23,87.0,Plant height ground truth-cm,I27
Woodruff,W-0015,2,W-0015-p02,5,2024-07-28T11:50:00-05:00,2024-07-28,114.0,Plant height ground truth-cm,J27
Woodruff,W-0015,3,W-0015-p03,1,2024-07-06T18:27:00-05:00,2024-07-06,70.0,Plant height ground truth-cm,E28
Woodruff,W-0015,3,W-0015-p03,2,2024-07-15T09:22:00-05:00,2024-07-15,111.0,Plant height ground truth-cm,G28
Woodruff,W-0015,3,W-0015-p03,3,2024-07-18T13:47:00-05:00,2024-07-18,123.0,Plant height ground truth-cm,H28
Woodruff,W-0015,3,W-0015-p03,4,2024-07-23T10:45:00-05:00,2024-07-23,150.0,Plant height ground truth-cm,I28
Woodruff,W-0015,3,W-0015-p03,5,2024-07-28T11:50:00-05:00,2024-07-28,168.0,Plant height ground truth-cm,J28
Woodruff,W-0015,4,W-0015-p04,1,2024-07-06T18:27:00-05:00,2024-07-06,82.0,Plant height ground truth-cm,E29
Woodruff,W-0015,4,W-0015-p04,2,2024-07-15T09:22:00-05:00,2024-07-15,111.0,Plant height ground truth-cm,G29
