plant_uid,scenario,single_frame_rmse_cm,post_hoc_rmse_cm,prior_in_detection_rmse_cm,post_hoc_coverage_95,prior_in_detection_coverage_95,prior_in_detection_truth_closest_rate
localization_error_040,localization_error,26.128799690329238,24.365133231177015,3.000761540067399,0.9166666666666666,1.0,1.0
localization_error_041,localization_error,13.791768998986887,13.775267000436926,13.786678462062067,0.9166666666666666,0.9166666666666666,0.9166666666666666
localization_error_042,localization_error,10.25680814505387,10.341153978382456,2.527412458458736,0.9166666666666666,1.0,1.0
localization_error_043,localization_error,3.7119044396161165,4.0053362712277325,4.068960747517651,0.9166666666666666,0.9166666666666666,1.0
localization_error_044,localization_error,12.225386054980019,9.822191179928598,3.451753403378349,0.9166666666666666,1.0,1.0
localization_error_045,localization_error,14.621103884094788,11.98731948400498,3.097385932974548,1.0,1.0,1.0
localization_error_046,localization_error,2.468376483595633,2.450852453092209,2.3404101321110775,1.0,1.0,1.0
localization_error_047,localization_error,2.154041147859536,2.115781249159861,2.1513887523503112,1.0,1.0,1.0
localization_error_048,localization_error,14.388512987154984,11.855373390694583,8.14804373821417,0.9166666666666666,0.9166666666666666,0.9166666666666666
localization_error_049,localization_error,2.2546845763041383,2.745923858834945,2.697513421094855,1.0,1.0,1.0
localization_error_050,localization_error,15.579335655884517,2.4551649406372125,2.702528330195303,1.0,1.0,1.0
localization_error_051,localization_error,1.8442525714290852,1.900895740263303,1.862452203408341,1.0,1.0,1.0
localization_error_052,localization_error,20.620415455239872,14.465354971434852,4.130526278709146,0.9166666666666666,0.9166666666666666,1.0
localization_error_053,localization_error,16.969680399604382,2.458869210633028,2.617835929298147,1.0,1.0,1.0
localization_error_054,localization_error,15.978592464463027,14.171942747463595,2.9757050509564817,1.0,1.0,1.0
localization_error_055,localization_error,11.831255137779925,12.93881384694074,12.678184817592271,0.9166666666666666,0.9166666666666666,0.9166666666666666
localization_error_056,localization_error,3.1532439236063126,2.7872156932612278,2.7981137224760975,0.9166666666666666,1.0,1.0
localization_error_057,localization_error,3.2500973258711454,3.099976406304587,3.117816527348265,1.0,1.0,1.0
localization_error_058,localization_error,23.596064328115926,27.472883892585575,24.504312556412163,0.6666666666666666,0.5833333333333334,0.75
