rowid,date_md,plantid,source_image,x_root_recovered_px,x_root_pose_px,x_match_distance_px,pose_height_px,pose_confidence,date,height_true,height_est_cm,height_sam,pose_geometry_height_cm_2021,held_out_row,cv_prediction_cm,cv_error_cm
C_010,07_11,p3,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG,467.0,411.2254943847656,55.774505615234375,156.52349853515625,0.1488630324602127,2021-07-11,70,98.14908530744336,84.0089628478964,65.09593171179199,C_010,74.51227166315991,4.512271663159908
C_011,07_11,p1,B73.21-C-011_2021-07-11-17-41_CAM397.JPG,633.0,642.3717041015625,9.3717041015625,205.0118408203125,0.8453311324119568,2021-07-11,96,108.54623417475727,99.396743171521,85.26155443139648,C_011,95.1082532764521,-0.8917467235478966
C_011,07_18,p1,B73.21-C-011_2021-07-18-14-58_CAM397.JPG,621.0,630.5432739257812,9.54327392578125,297.6683654785156,0.7874454855918884,2021-07-18,100,136.61853611650486,108.546234174757,123.79610584539795,C_011,133.48068671474337,33.48068671474337
C_011,07_30,p1,B73.21-C-011_2021-07-30-13-41_CAM397.JPG,623.0,633.8655395507812,10.86553955078125,394.7034606933594,0.8113861083984375,2021-07-30,196,211.8938939158576,225.826073398058,164.15164345391844,C_011,173.66644531129353,-22.33355468870647
C_011,07_11,p2,B73.21-C-011_2021-07-11-17-41_CAM397.JPG,541.0,548.6050415039062,7.60504150390625,181.85345458984372,0.9060370326042176,2021-07-11,86,106.67474737864076,84.0089628478964,75.63030581555174,C_011,85.51752410281878,-0.4824758971812173
C_011,07_18,p2,B73.21-C-011_2021-07-18-14-58_CAM397.JPG,536.0,551.295654296875,15.295654296875,257.172119140625,0.8362271785736084,2021-07-18,110,126.01344427184466,107.29857631068,106.95428394091796,C_011,116.70971971772273,6.709719717722734
C_011,07_30,p2,B73.21-C-011_2021-07-30-13-41_CAM397.JPG,544.0,543.431396484375,0.568603515625,391.8160400390625,0.8300929665565491,2021-07-30,196,210.4382930744337,231.648476763754,162.95080562768553,C_011,172.4706595069579,-23.5293404930421
C_011,07_11,p3,B73.21-C-011_2021-07-11-17-41_CAM397.JPG,466.0,466.210693359375,0.210693359375,172.45343017578125,0.7737941741943359,2021-07-11,86,94.19816873786408,76.1071297087379,71.72096726208495,C_011,81.62463245295922,-4.375367547040781
C_011,07_18,p3,B73.21-C-011_2021-07-18-14-58_CAM397.JPG,461.0,461.8052978515625,0.8052978515625,251.275146484375,0.8382214307785034,2021-07-18,110,127.67698809061488,118.111611132686,104.50181557080077,C_011,114.267569080473,4.267569080472995
C_011,07_30,p3,B73.21-C-011_2021-07-30-13-41_CAM397.JPG,464.0,465.6492614746094,1.649261474609375,380.2770690917969,0.8918261528015137,2021-07-30,196,216.676582394822,215.013038576052,158.15190915631104,C_011,167.69195238132727,-28.30804761867273
C_021,07_02,p3,EP1.21-C-021_2021-07-02-15-31_CAM219.JPG,336.0,340.53564453125,4.53564453125,111.74908447265624,0.8501566648483276,2021-07-02,48,75.89918673139158,45.3315690614887,46.47487974499511,C_021,51.612246337471994,3.612246337471994
C_021,07_02,p4,EP1.21-C-021_2021-07-02-15-31_CAM219.JPG,260.0,275.2438659667969,15.243865966796875,106.46881103515624,0.6241477131843567,2021-07-02,40,76.52301566343041,74.4435858899676,44.27888794616698,C_021,49.22367680904893,9.223676809048932
C_021,07_11,p4,EP1.21-C-021_2021-07-11-11-56_CAM219.JPG,269.0,271.42529296875,2.42529296875,178.41156005859375,0.687162458896637,2021-07-11,58,95.8617125566343,88.167822394822,74.19887006652831,C_021,81.76749487876815,23.767494878768147
C_021,07_18,p4,EP1.21-C-021_2021-07-18-14-27_CAM219.JPG,262.0,269.1344299316406,7.134429931640625,125.54638671875,0.7741815447807312,2021-07-18,114,97.31731339805825,126.013444271845,52.21298458691406,C_021,57.85355488134656,-56.14644511865344
C_021,07_30,p4,EP1.21-C-021_2021-07-30-10-01_CAM219.JPG,259.0,279.89923095703125,20.89923095703125,201.43817138671875,0.6749929785728455,2021-07-30,110,86.92016453074433,104.387374627832,83.7753153453369,C_021,92.18374752405565,-17.816252475944353
