k_dropped,true_ft,pred_ft,below_ft,error_ft,error_cm,image_id,camera
2,0.0,0.006195611889941343,2.0,0.006195611889941343,0.18884225040541214,25-BR546.UFMu-00589.2025-07-18-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.0079740430958017,1.0,0.007974043095801742,0.2430488335600371,25-BR546.UFMu-00589.2025-07-18-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.013114649890665827,3.0,-0.013114649890665827,-0.3997345286674944,25-BR546.UFMu-00589.2025-07-18-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9964219921724482,2.0,-0.003578007827551799,-0.10905767858377884,25-BR546.UFMu-00589.2025-07-18-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9935630251555598,1.0,-0.006436974844440169,-0.19619899325853635,25-BR546.UFMu-00589.2025-07-18-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.014989445266398406,1.0,0.014989445266398406,0.4568782917198234,25-BR546.UFMu-00589.2025-07-19-11-39.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.004913400464542679,2.0,0.004913400464542679,0.14976044615926085,25-BR546.UFMu-00589.2025-07-19-11-39.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9943618298356185,1.0,-0.005638170164381506,-0.1718514266103483,25-BR546.UFMu-00589.2025-07-19-11-39.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.01981655104333043,1.0,0.01981655104333043,0.6040084758007116,25-BR546.UFMu-00589.2025-07-20-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.04451734420322874,2.0,0.04451734420322874,1.356888651314412,25-BR546.UFMu-00589.2025-07-20-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.0139109049648636,1.0,0.01391090496486358,0.4240043833290419,25-BR546.UFMu-00589.2025-07-20-11-43.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.0050354302763291345,1.0,-0.0050354302763291345,-0.15347991482251203,25-BR546.UFMu-00589.2025-07-21-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.005929658370371172,2.0,0.005929658370371172,0.18073598712891334,25-BR546.UFMu-00589.2025-07-21-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.0060785838579507,1.0,0.006078583857950681,0.18527523599033677,25-BR546.UFMu-00589.2025-07-21-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.010741090137250945,1.0,-0.010741090137250945,-0.3273884273834088,25-BR546.UFMu-00589.2025-07-22-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.00938870923920796,2.0,-0.00938870923920796,-0.2861678576110586,25-BR546.UFMu-00589.2025-07-22-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.0007474476278946,1.0,0.0007474476278945819,0.022782203698226856,25-BR546.UFMu-00589.2025-07-22-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.0031985210564580155,1.0,0.0031985210564580155,0.09749092180084032,25-BR546.UFMu-00589.2025-07-23-11-50.NJ3HL.000030110930,25-BR546.UFMu-00589
